No,Kode/Nama Perusahaan,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
651,TOWR,Sarana Menara Nusantara Tbk.,2010-03-08,51.014.625.000,Utama
652,TOYS,Sunindo Adipersada Tbk.,2020-08-06,1.435.000.000,Pengembangan
653,TPIA,Chandra Asri Petrochemical Tbk,1996-06-24,17.833.520.260,Pengembangan
654,TPMA,Trans Power Marine Tbk.,2013-02-20,2.633.300.000,Pengembangan
655,TRAM,Trada Alam Minera Tbk.,2008-09-10,49.643.625.618,Utama
656,TRIL,Triwira Insanlestari Tbk.,2008-01-28,1.200.000.000,Pengembangan
657,TRIM,Trimegah Sekuritas Indonesia T,2000-01-31,7.109.300.000,Utama
658,TRIN,Perintis Triniti Properti Tbk.,2020-01-15,4.373.333.400,Pengembangan
659,TRIO,Trikomsel Oke Tbk.,2009-04-14,26.007.494.645,Utama
660,TRIS,Trisula International Tbk.,2012-06-28,3.141.443.806,Pengembangan
661,TRJA,Transkon Jaya Tbk.,2020-08-27,1.510.200.000,Pengembangan
662,TRST,Trias Sentosa Tbk.,1990-07-02,2.808.000.000,Utama
663,TRUK,Guna Timur Raya Tbk.,2018-05-23,435.000.000,Pengembangan
664,TRUS,Trust Finance Indonesia Tbk,2002-11-28,800.000.000,Pengembangan
665,TSPC,Tempo Scan Pacific Tbk.,1994-06-17,4.500.000.000,Utama
666,TUGU,Asuransi Tugu Pratama Indonesi,2018-05-28,1.777.777.800,Pengembangan
667,TURI,Tunas Ridean Tbk.,1995-05-16,5.580.000.000,Utama
668,UANG,Pakuan Tbk.,2020-07-06,1.210.000.000,Pengembangan
669,UCID,Uni-Charm Indonesia Tbk.,2019-12-20,4.156.572.300,Utama
670,ULTJ,Ultra Jaya Milk Industry & Tra,1990-07-02,11.553.528.000,Utama
671,UNIC,Unggul Indah Cahaya Tbk.,1989-11-06,383.331.363,Utama
672,UNIT,Nusantara Inti Corpora Tbk,2002-04-18,75.422.200,Pengembangan
673,UNSP,Bakrie Sumatera Plantations Tb,1990-03-06,2.500.162.344,Utama
674,UNTR,United Tractors Tbk.,1989-09-19,3.730.135.136,Utama
675,UNVR,Unilever Indonesia Tbk.,1982-01-11,38.150.000.000,Utama
676,URBN,Urban Jakarta Propertindo Tbk.,2018-12-10,3.232.122.588,Pengembangan
677,VICO,Victoria Investama Tbk.,2013-07-08,9.150.094.680,Utama
678,VINS,Victoria Insurance Tbk.,2015-09-28,1.460.462.836,Pengembangan
679,VIVA,Visi Media Asia Tbk.,2011-11-21,16.464.270.400,Utama
680,VOKS,Voksel Electric Tbk.,1990-12-20,4.155.602.595,Utama
681,VRNA,Verena Multi Finance Tbk.,2008-06-25,5.687.353.997,Pengembangan
682,WAPO,Wahana Pronatural Tbk.,2001-06-22,1.240.923.111,Pengembangan
683,WEGE,Wijaya Karya Bangunan Gedung T,2017-11-30,9.572.000.000,Utama
684,WEHA,WEHA Transportasi Indonesia Tb,2007-05-31,886.411.265,Utama
685,WICO,Wicaksana Overseas Internation,1994-08-08,1.268.950.977,Pengembangan
686,WIIM,Wismilak Inti Makmur Tbk.,2012-12-18,2.099.873.760,Utama
687,WIKA,Wijaya Karya (Persero) Tbk.,2007-10-29,8.969.951.372,Utama
688,WINS,Wintermar Offshore Marine Tbk.,2010-11-29,4.243.011.640,Utama
689,WOMF,Wahana Ottomitra Multiartha Tb,2004-12-13,3.481.481.480,Utama
690,WOOD,Integra Indocabinet Tbk.,2017-06-21,6.306.250.000,Utama
691,WOWS,Ginting Jaya Energi Tbk.,2019-11-08,2.475.720.000,Pengembangan
692,WSBP,Waskita Beton Precast Tbk.,2016-09-20,26.361.157.534,Utama
693,WSKT,Waskita Karya (Persero) Tbk.,2012-12-19,13.573.951.000,Utama
694,WTON,Wijaya Karya Beton Tbk.,2014-04-08,8.715.466.600,Utama
695,YELO,Yelooo Integra Datanet Tbk.,2018-10-29,380.043.597,Pengembangan
696,YPAS,Yanaprima Hastapersada Tbk,2008-03-05,668.000.089,Pengembangan
697,YULE,Yulie Sekuritas Indonesia Tbk.,2004-12-10,1.785.000.000,Pengembangan
698,ZBRA,Zebra Nusantara Tbk,1991-08-01,856.133.009,Pengembangan
699,ZINC,Kapuas Prima Coal Tbk.,2017-10-16,25.250.000.000,Pengembangan
700,ZONE,Mega Perintis Tbk.,2018-12-12,870.171.478,Pengembangan
